Month,Sales
1/31/2009,12651
2/28/2009,12869
3/31/2009,14058
4/30/2009,14575
5/31/2009,15380
6/30/2009,14202
7/31/2009,14171
8/31/2009,15338
9/30/2009,13506
10/31/2009,14973
11/30/2009,18276
12/31/2009,26584
1/31/2010,12298
2/28/2010,12819
3/31/2010,14632
4/30/2010,14183
5/31/2010,14922
6/30/2010,14273
7/31/2010,13955
8/31/2010,14709
9/30/2010,13520
10/31/2010,14387
11/30/2010,18416
12/31/2010,26641
1/31/2011,11895
2/28/2011,12857
3/31/2011,14178
4/30/2011,14513
5/31/2011,14484
6/30/2011,14719
7/31/2011,13901
8/31/2011,14675
9/30/2011,13598
10/31/2011,14264
11/30/2011,18035
12/31/2011,26242
1/31/2012,11430
2/29/2012,13169
3/31/2012,14448
4/30/2012,13579
5/31/2012,14111
6/30/2012,13909
7/31/2012,13145
8/31/2012,14710
9/30/2012,13123
10/31/2012,13482
11/30/2012,17610
12/31/2012,24597
1/31/2013,11299
2/28/2013,12029
3/31/2013,13905
4/30/2013,12544
5/31/2013,14013
6/30/2013,13309
7/31/2013,12574
8/31/2013,14117
9/30/2013,12481
10/31/2013,13290
11/30/2013,16858
12/31/2013,23775
1/31/2014,10581
2/28/2014,11587
3/31/2014,13228
4/30/2014,13061
5/31/2014,13977
6/30/2014,12963
7/31/2014,12675
8/31/2014,14116
9/30/2014,12109
10/31/2014,13144
11/30/2014,16793
12/31/2014,23834
1/31/2015,10756
2/28/2015,11185
3/31/2015,13119
4/30/2015,12292
5/31/2015,13627
6/30/2015,12496
7/31/2015,12488
8/31/2015,13581
9/30/2015,11971
10/31/2015,12884
11/30/2015,16251
12/31/2015,23381
1/31/2016,10035
2/29/2016,10909
3/31/2016,12544
4/30/2016,11606
5/31/2016,12222
6/30/2016,12106
7/31/2016,11667
8/31/2016,12447
9/30/2016,11188
10/31/2016,11696
11/30/2016,14711
12/31/2016,21669
1/31/2017,9490
2/28/2017,10060
3/31/2017,11829
4/30/2017,11669
5/31/2017,12072
6/30/2017,11634
7/31/2017,11536
8/31/2017,12455
9/30/2017,11214
10/31/2017,11557
11/30/2017,15231
12/31/2017,21616
1/31/2018,9374
2/28/2018,10023
3/31/2018,12072
4/30/2018,11178
5/31/2018,12406
6/30/2018,11610
7/31/2018,11381
8/31/2018,12556
9/30/2018,10921
10/31/2018,11536
11/30/2018,15219
12/31/2018,20679
1/31/2019,
2/28/2019,
3/31/2019,
4/30/2019,
5/31/2019,
6/30/2019,
7/31/2019,
8/31/2019,
9/30/2019,
10/31/2019,
11/30/2019,
12/31/2019,
